Datos de Termopar tipo B. Ejemplo 1 
x-Minivoltios (mV), y-Temperatura (°C) 
0.582, 346.0
0.585, 347.0
0.589, 348.0
0.592, 349.0
0.596, 350.0
0.599, 351.0
0.603, 352.0
0.607, 353.0
0.610, 354.0
0.614, 355.0
0.617, 356.0
0.621, 357.0
0.625, 358.0
0.628, 359.0
0.632, 360.0
0.636, 361.0
0.639, 362.0
0.643, 363.0
0.647, 364.0
0.650, 365.0
0.654, 366.0
0.658, 367.0
0.662, 368.0
0.665, 369.0
0.669, 370.0
0.673, 371.0
0.677, 372.0
0.680, 373.0
0.684, 374.0
0.688, 375.0
0.692, 376.0
0.696, 377.0
0.700, 378.0
0.703, 379.0
0.707, 380.0
0.711, 381.0
0.715, 382.0
0.719, 383.0
0.723, 384.0
0.727, 385.0
0.731, 386.0
0.735, 387.0
0.738, 388.0
0.742, 389.0
0.746, 390.0
0.750, 391.0
0.754, 392.0
0.758, 393.0
0.762, 394.0
0.766, 395.0
0.770, 396.0
0.774, 397.0
0.778, 398.0
0.782, 399.0
0.787, 400.0
0.791, 401.0
0.795, 402.0
0.799, 403.0
0.803, 404.0
0.807, 405.0
0.811, 406.0
0.815, 407.0
0.819, 408.0
0.824, 409.0
0.828, 410.0
0.832, 411.0
0.836, 412.0
0.840, 413.0
0.844, 414.0
0.849, 415.0
0.853, 416.0
0.857, 417.0
0.861, 418.0
0.866, 419.0
0.870, 420.0
0.874, 421.0
0.878, 422.0
0.883, 423.0
0.887, 424.0
0.891, 425.0
0.896, 426.0
0.900, 427.0
0.904, 428.0
0.909, 429.0
0.913, 430.0
0.917, 431.0
0.922, 432.0
0.926, 433.0
0.930, 434.0
0.935, 435.0
0.939, 436.0
0.944, 437.0
0.948, 438.0
0.953, 439.0
0.957, 440.0
0.961, 441.0
0.966, 442.0
0.970, 443.0
0.975, 444.0
0.979, 445.0
0.984, 446.0
0.988, 447.0
0.993, 448.0
0.997, 449.0
1.002, 450.0
1.007, 451.0
1.011, 452.0
1.016, 453.0
1.020, 454.0
1.025, 455.0
1.030, 456.0
1.034, 457.0
1.039, 458.0
1.043, 459.0
1.048, 460.0
1.053, 461.0
1.057, 462.0
1.062, 463.0
1.067, 464.0
1.071, 465.0
1.076, 466.0
1.081, 467.0
1.086, 468.0
1.090, 469.0
1.095, 470.0
1.100, 471.0
1.105, 472.0
1.109, 473.0
1.114, 474.0
1.119, 475.0
1.124, 476.0
1.129, 477.0
1.133, 478.0
1.138, 479.0
1.143, 480.0
1.148, 481.0
1.153, 482.0
1.158, 483.0
1.163, 484.0
1.167, 485.0
1.172, 486.0
1.177, 487.0
1.182, 488.0
1.187, 489.0
1.192, 490.0
1.197, 491.0
1.202, 492.0
1.207, 493.0
1.212, 494.0
1.217, 495.0
1.222, 496.0
1.227, 497.0
1.232, 498.0
1.237, 499.0
1.242, 500.0
1.247, 501.0
1.252, 502.0
1.257, 503.0
1.262, 504.0
1.267, 505.0
1.272, 506.0
1.277, 507.0
1.282, 508.0
1.288, 509.0
1.293, 510.0
1.298, 511.0
1.303, 512.0
1.308, 513.0
1.313, 514.0
1.318, 515.0
1.324, 516.0
1.329, 517.0
1.334, 518.0
1.339, 519.0
1.344, 520.0
1.350, 521.0
1.355, 522.0
1.360, 523.0
1.365, 524.0
1.371, 525.0
1.376, 526.0
1.381, 527.0
1.387, 528.0
1.392, 529.0
1.397, 530.0
1.402, 531.0
1.408, 532.0
1.413, 533.0
1.418, 534.0
1.424, 535.0
1.429, 536.0
1.435, 537.0
1.440, 538.0
1.445, 539.0
1.451, 540.0
1.456, 541.0
1.462, 542.0
1.467, 543.0
1.472, 544.0
1.478, 545.0
1.483, 546.0
1.489, 547.0
1.494, 548.0
1.500, 549.0
1.505, 550.0
1.511, 551.0
1.516, 552.0
1.522, 553.0
1.527, 554.0
1.533, 555.0
1.539, 556.0
1.544, 557.0
1.550, 558.0
1.555, 559.0
1.561, 560.0
1.566, 561.0
1.572, 562.0
1.578, 563.0
1.583, 564.0
1.589, 565.0
1.595, 566.0
1.600, 567.0
1.606, 568.0
1.612, 569.0
1.617, 570.0
1.623, 571.0
1.629, 572.0
1.634, 573.0
1.640, 574.0
1.646, 575.0
1.652, 576.0
1.657, 577.0
1.663, 578.0
1.669, 579.0
1.675, 580.0
1.680, 581.0
1.686, 582.0
1.692, 583.0
1.698, 584.0
1.704, 585.0
1.709, 586.0
