Datos de Termopar tipo C. Ejemplo 1 
x-Minivoltios (mV), y-Temperatura (°C) 
5.788, 350.0
5.807, 351.0
5.825, 352.0
5.844, 353.0
5.863, 354.0
5.882, 355.0
5.900, 356.0
5.919, 357.0
5.938, 358.0
5.956, 359.0
5.975, 360.0
5.994, 361.0
6.013, 362.0
6.032, 363.0
6.050, 364.0
6.069, 365.0
6.088, 366.0
6.107, 367.0
6.126, 368.0
6.144, 369.0
6.163, 370.0
6.182, 371.0
6.201, 372.0
6.220, 373.0
6.239, 374.0
6.257, 375.0
6.276, 376.0
6.295, 377.0
6.314, 378.0
6.333, 379.0
6.352, 380.0
6.371, 381.0
6.390, 382.0
6.409, 383.0
6.427, 384.0
6.446, 385.0
6.465, 386.0
6.484, 387.0
6.503, 388.0
6.522, 389.0
6.541, 390.0
6.560, 391.0
6.579, 392.0
6.598, 393.0
6.617, 394.0
6.636, 395.0
6.655, 396.0
6.674, 397.0
6.693, 398.0
6.712, 399.0
6.731, 400.0
6.750, 401.0
6.769, 402.0
6.788, 403.0
6.807, 404.0
6.826, 405.0
6.845, 406.0
6.864, 407.0
6.883, 408.0
6.902, 409.0
6.921, 410.0
6.940, 411.0
6.959, 412.0
6.979, 413.0
6.998, 414.0
7.017, 415.0
7.036, 416.0
7.055, 417.0
7.074, 418.0
7.093, 419.0
7.112, 420.0
7.131, 421.0
7.151, 422.0
7.170, 423.0
7.189, 424.0
7.208, 425.0
7.227, 426.0
7.246, 427.0
7.265, 428.0
7.285, 429.0
7.304, 430.0
7.323, 431.0
7.342, 432.0
7.361, 433.0
7.380, 434.0
7.400, 435.0
7.419, 436.0
7.438, 437.0
7.457, 438.0
7.476, 439.0
7.496, 440.0
7.515, 441.0
7.534, 442.0
7.553, 443.0
7.572, 444.0
7.592, 445.0
7.611, 446.0
7.630, 447.0
7.649, 448.0
7.669, 449.0
7.688, 450.0
7.707, 451.0
7.726, 452.0
7.746, 453.0
7.765, 454.0
7.784, 455.0
7.804, 456.0
7.823, 457.0
7.842, 458.0
7.861, 459.0
7.881, 460.0
7.900, 461.0
7.919, 462.0
7.939, 463.0
7.958, 464.0
7.977, 465.0
7.996, 466.0
8.016, 467.0
8.035, 468.0
8.054, 469.0
8.074, 470.0
8.093, 471.0
8.112, 472.0
8.132, 473.0
8.151, 474.0
8.170, 475.0
8.190, 476.0
8.209, 477.0
8.229, 478.0
8.248, 479.0
8.267, 480.0
